time ms,free,max,total
68,76026216,129957888,85000192
1068,83752304,129957888,85000192
2068,84071704,129957888,85000192
3068,84055704,129957888,85000192
4068,83707016,129957888,85000192
5068,84074808,129957888,85000192
6068,83722120,129957888,85000192
7071,84070808,129957888,85000192
8071,83714120,129957888,85000192
9071,84062808,129957888,85000192
10071,83714120,129957888,85000192
11071,84062808,129957888,85000192
12071,83714120,129957888,85000192
13072,84062808,129957888,85000192
14072,83714120,129957888,85000192
15072,84062808,129957888,85000192
16072,83698120,129957888,85000192
17072,83698120,129957888,85000192
18072,83698120,129957888,85000192
19073,84046808,129957888,85000192
20073,83698120,129957888,85000192
21073,83698120,129957888,85000192
22073,83698120,129957888,85000192
23073,83698120,129957888,85000192
24073,83698120,129957888,85000192
25073,84046808,129957888,85000192
26073,83698120,129957888,85000192
27074,83698120,129957888,85000192
28074,83698120,129957888,85000192
29074,83698120,129957888,85000192
30074,83698120,129957888,85000192
31074,84046808,129957888,85000192
32075,83698120,129957888,85000192
33075,83698120,129957888,85000192
34075,83698120,129957888,85000192
35076,83698120,129957888,85000192
36076,83698120,129957888,85000192
37076,84046808,129957888,85000192
38076,83698120,129957888,85000192
39076,83698120,129957888,85000192
40076,83698120,129957888,85000192
41077,83698120,129957888,85000192
42077,83698120,129957888,85000192
43077,84046808,129957888,85000192
44077,83698120,129957888,85000192
45078,83698120,129957888,85000192
